step,E,T,E_pair,E_wall,accepted,moved
69,3.9811270035164621,0.93329445938129396,3.9552884636660495,0.025838539850412501,1,7
70,3.9859226941634289,0.93236116492191268,3.9600841543130163,0.025838539850412501,1,18
71,4.1056542763586039,0.93142880375699078,4.0798157365081913,0.025838539850412501,1,1
72,4.0991898023159417,0.93049737495323381,4.073351262465529,0.025838539850412501,1,8
73,4.0757308521637663,0.9295668775782806,4.073351262465529,0.0023795896982374571,1,9
74,4.079931047067844,0.92863731070070232,4.0775514573696068,0.0023795896982374571,1,1
75,4.4257316119471311,0.92770867339000163,4.4233520222488938,0.0023795896982374571,1,4
76,4.4257316119471311,0.92678096471661164,4.4233520222488938,0.0023795896982374571,0,2
77,4.4257316119471311,0.92585418375189499,4.4233520222488938,0.0023795896982374571,1,16
78,4.9695811901896443,0.92492832956814308,4.9672016004914061,0.0023795896982374571,1,2
