N,path,prefix,run_id,seed,L,best_feas,density,area_gap,area_gap_frac,boundary_fraction,nn_mean,nn_std,orient_entropy
23,csv/N23_job5048420_task23_best_polys_N023.csv,N23_job5048420_task23,23,12345,3.526784272708689,0.0,0.4541952759681431,6.788832306225357,0.5458047240318569,1.0,0.5543695033671552,0.09507914061249657,2.788626037967039
24,csv/N24_job5048421_task24_best_polys_N024.csv,N24_job5048421_task24,24,12345,3.707926369186301,0.0,0.42876725069550337,7.853717959307106,0.5712327493044966,1.0,0.5817841494312008,0.12349394034696648,2.7878762280875944
25,csv/N25_job5048422_task25_best_polys_N025.csv,N25_job5048422_task25,25,12345,3.8050381027706193,0.0,0.4241256676253569,8.337689963536233,0.5758743323746431,0.92,0.5226327100938309,0.09222028487470692,2.754331703559254
26,csv/N26_job5048423_task26_best_polys_N026.csv,N26_job5048423_task26,26,12345,3.843793677521704,0.0,0.43224082107419304,8.388499835355823,0.567759178925807,1.0,0.5418033006936008,0.12765010131975169,2.9381824546861237
27,csv/N27_job5048424_task27_best_polys_N027.csv,N27_job5048424_task27,27,12345,3.9114761097267396,0.0,0.43346592978259874,8.66777035696303,0.5665340702174013,0.9259259259259259,0.5529043224968385,0.11360096194705512,2.9364272168250984
28,csv/N28_job5048425_task28_best_polys_N028.csv,N28_job5048425_task28,28,12345,4.02179204896498,0.0,0.4251981601991132,9.297311285117933,0.5748018398008867,1.0,0.5378376959014505,0.13999370660030083,2.9669434861893538
29,csv/N29_job5048426_task29_best_polys_N029.csv,N29_job5048426_task29,29,12345,4.086628426597125,0.0,0.42652084639585547,9.577406897071691,0.5734791536041446,0.9655172413793104,0.5419913597391707,0.16455773245262229,2.9190235060608334
30,csv/N30_job5048427_task30_best_polys_N030.csv,N30_job5048427_task30,30,12345,4.066402413698317,0.0,0.4456286593421485,9.166878590131496,0.5543713406578514,0.9,0.5133320641909236,0.11647110194809686,2.9966356757792143
31,csv/N31_job5048428_task31_best_polys_N031.csv,N31_job5048428_task31,31,12345,4.259388277407846,0.0,0.41970080185181663,10.528013497719382,0.5802991981481833,0.9354838709677419,0.5487693407587214,0.11295780124280551,2.8914393850137765
32,csv/N32_job5048429_task32_best_polys_N032.csv,N32_job5048429_task32,32,12345,4.315750961778326,0.0,0.4219974183182495,10.765706364090544,0.5780025816817504,0.90625,0.5676561853854342,0.08106198984121689,2.9728457116721216
